Mood,Definition,Emotional Group,Group,Group Count,Hue Range (Â°),Intensity level,Tier Count,hex,hue,lightness,rgb,saturation,url
Edgy,"On the edge, slightly unconventional or tense.",Anger / Energy,Internal Agitation,1,30,Lower,1,#d82626,0,50,"rgb(216, 38, 38)",70,/assets/media/wallpapers/moods/edgy-d82626.png
Gritty,"Realistic, raw, and sometimes harsh; a tough, baseline quality.",Anger / Energy,Internal Agitation,2,30,Lower,2,#d82b26,1.83,50,"rgb(216, 43, 38)",70,/assets/media/wallpapers/moods/gritty-d82b26.png
Restless,"A low-level, nervous, and constant energy; unable to relax.",Anger / Energy,Internal Agitation,3,30,Lower,3,#d83126,3.65,50,"rgb(216, 49, 38)",70,/assets/media/wallpapers/moods/restless-d83126.png
Tense,A state of emotional or mental strain; coiled but not yet released.,Anger / Energy,Internal Agitation,4,30,Lower,4,#d83626,5.48,50,"rgb(216, 54, 38)",70,/assets/media/wallpapers/moods/tense-d83626.png
Anti-Establishment,"An attitude of opposition to authority, not necessarily active or aggressive.",Anger / Energy,Internal Agitation,5,30,Lower,5,#d83b26,7.31,50,"rgb(216, 59, 38)",70,/assets/media/wallpapers/moods/anti-establishment-d83b26.png
Energetic,"Simply active and dynamic, without a specific emotional charge.",Anger / Energy,Internal Agitation,6,30,Lower,6,#d84126,9.14,50,"rgb(216, 65, 38)",70,/assets/media/wallpapers/moods/energetic-d84126.png
Powerful,Having great strength or influence.,Anger / Energy,Internal Agitation,7,30,Lower,7,#d84626,10.96,50,"rgb(216, 70, 38)",70,/assets/media/wallpapers/moods/powerful-d84626.png
Intense,Exhibiting a high degree of a quality or emotion.,Anger / Energy,Internal Agitation,8,30,Lower,8,#d84c26,12.79,50,"rgb(216, 76, 38)",70,/assets/media/wallpapers/moods/intense-d84c26.png
Hard-hitting,Direct and forceful; making a strong impact.,Anger / Energy,Internal Agitation,9,30,Lower,9,#d85126,14.62,50,"rgb(216, 81, 38)",70,/assets/media/wallpapers/moods/hard-hitting-d85126.png
Charged,"Filled with emotion, tension, or energy; on the brink of action.",Anger / Energy,Internal Agitation,10,30,Lower,10,#d85726,16.45,50,"rgb(216, 87, 38)",70,/assets/media/wallpapers/moods/charged-d85726.png
Provocative,Intended to cause a strong reaction.,Anger / Energy,Internal Agitation,11,30,Lower,11,#d85c26,18.27,50,"rgb(216, 92, 38)",70,/assets/media/wallpapers/moods/provocative-d85c26.png
Defiant,Openly resisting an opposing force or authority.,Anger / Energy,Internal Agitation,12,30,Lower,12,#d86226,20.1,50,"rgb(216, 98, 38)",70,/assets/media/wallpapers/moods/defiant-d86226.png
Volatile,Likely to change rapidly and unpredictably; explosive potential.,Anger / Energy,Internal Agitation,13,30,Lower,13,#d86726,21.93,50,"rgb(216, 103, 38)",70,/assets/media/wallpapers/moods/volatile-d86726.png
Angry,A strong feeling of displeasure; an active emotion.,Anger / Energy,Outward Expression,14,30,Moderate,1,#d86c26,23.76,50,"rgb(216, 108, 38)",70,/assets/media/wallpapers/moods/angry-d86c26.png
Aggressive,Ready or likely to attack or confront; assertive.,Anger / Energy,Outward Expression,15,30,Moderate,2,#d87226,25.58,50,"rgb(216, 114, 38)",70,/assets/media/wallpapers/moods/aggressive-d87226.png
Combative,Eager to fight or argue; confrontational.,Anger / Energy,Outward Expression,16,30,Moderate,3,#d87726,27.41,50,"rgb(216, 119, 38)",70,/assets/media/wallpapers/moods/combative-d87726.png
Turbulent,"Characterized by conflict, disorder, or confusion.",Anger / Energy,Rage / Volatility,17,30,Higher,1,#d87d26,29.24,50,"rgb(216, 125, 38)",70,/assets/media/wallpapers/moods/turbulent-d87d26.png
Belligerent,Hostile and aggressive; ready for a fight.,Anger / Energy,Rage / Volatility,18,30,Higher,2,#d88226,31.07,50,"rgb(216, 130, 38)",70,/assets/media/wallpapers/moods/belligerent-d88226.png
Rebellious,Actively resisting control or authority; a strong action.,Anger / Energy,Rage / Volatility,19,30,Higher,3,#d88826,32.89,50,"rgb(216, 136, 38)",70,/assets/media/wallpapers/moods/rebellious-d88826.png
Furious,Full of extreme anger or violent passion; intensely energetic or enraged.,Anger / Energy,Rage / Volatility,20,30,Higher,4,#d88d26,34.72,50,"rgb(216, 141, 38)",70,/assets/media/wallpapers/moods/furious-d88d26.png
Riotous,"Wildly uncontrolled and disorderly, suggesting chaos.",Anger / Energy,Rage / Volatility,21,30,Higher,5,#d89226,36.55,50,"rgb(216, 146, 38)",70,/assets/media/wallpapers/moods/riotous-d89226.png
Explosive,"Capable of a sudden, violent, or intense outburst.",Anger / Energy,Rage / Volatility,22,30,Higher,6,#d89826,38.38,50,"rgb(216, 152, 38)",70,/assets/media/wallpapers/moods/explosive-d89826.png
Wrathful,"Intense, extreme anger, often with a vengeful element.",Anger / Energy,Rage / Volatility,23,30,Higher,7,#d89d26,40.2,50,"rgb(216, 157, 38)",70,/assets/media/wallpapers/moods/wrathful-d89d26.png
Frenzied,Wildly excited or agitated; near-hysterical or chaotic.,Anger / Energy,Rage / Volatility,24,30,Higher,8,#d8a326,42.03,50,"rgb(216, 163, 38)",70,/assets/media/wallpapers/moods/frenzied-d8a326.png
Mellow,"A gentle, pleasant, and calm state of feeling.",Joy / Optimism,Gentle Uplift,1,70,Lower,1,#d8a826,43.86,50,"rgb(216, 168, 38)",70,/assets/media/wallpapers/moods/mellow-d8a826.png
Complacent,"Satisfied and content with oneself or one's situation, sometimes to a fault.",Joy / Optimism,Gentle Uplift,2,70,Lower,2,#d8ae26,45.69,50,"rgb(216, 174, 38)",70,/assets/media/wallpapers/moods/complacent-d8ae26.png
Hopeful,Feeling or inspiring a belief that something good will happen.,Joy / Optimism,Gentle Uplift,3,70,Lower,3,#d8b326,47.51,50,"rgb(216, 179, 38)",70,/assets/media/wallpapers/moods/hopeful-d8b326.png
Comforting,"Providing a sense of relief, ease, and solace.",Joy / Optimism,Gentle Uplift,4,70,Lower,4,#d8b926,49.34,50,"rgb(216, 185, 38)",70,/assets/media/wallpapers/moods/comforting-d8b926.png
Gracious,"Characterized by kindness, charm, and a pleasant disposition, which can inspire a gentle joy in others.",Joy / Optimism,Gentle Uplift,5,70,Lower,5,#d8be26,51.17,50,"rgb(216, 190, 38)",70,/assets/media/wallpapers/moods/gracious-d8be26.png
Playful,Full of fun and high spirits; lighthearted.,Joy / Optimism,Gentle Uplift,6,70,Lower,6,#d8c326,52.99,50,"rgb(216, 195, 38)",70,/assets/media/wallpapers/moods/playful-d8c326.png
Grateful,Acknowledging and showing appreciation for a benefit received.,Joy / Optimism,Heartfelt Connection,7,70,Moderate,1,#d8c926,54.82,50,"rgb(216, 201, 38)",70,/assets/media/wallpapers/moods/grateful-d8c926.png
Sincere,Genuine and heartfelt in feeling or expression.,Joy / Optimism,Heartfelt Connection,8,70,Moderate,2,#d8ce26,56.65,50,"rgb(216, 206, 38)",70,/assets/media/wallpapers/moods/sincere-d8ce26.png
Cheerful,"Noticeably happy, optimistic, and in good spirits.",Joy / Optimism,Heartfelt Connection,9,70,Moderate,3,#d8d426,58.48,50,"rgb(216, 212, 38)",70,/assets/media/wallpapers/moods/cheerful-d8d426.png
Warm,"Exhibiting kindness, friendliness, or affection.",Joy / Optimism,Heartfelt Connection,10,70,Moderate,4,#d7d826,60.3,50,"rgb(215, 216, 38)",70,/assets/media/wallpapers/moods/warm-d7d826.png
Intimate,Associated in a close personal relationship; very private and personal.,Joy / Optimism,Heartfelt Connection,11,70,Moderate,5,#d2d826,62.13,50,"rgb(210, 216, 38)",70,/assets/media/wallpapers/moods/intimate-d2d826.png
Affectionate,Showing tender feelings of love or fondness.,Joy / Optimism,Heartfelt Connection,12,70,Moderate,6,#ccd826,63.96,50,"rgb(204, 216, 38)",70,/assets/media/wallpapers/moods/affectionate-ccd826.png
Buoyant,Cheerful and optimistic; not easily depressed.,Joy / Optimism,Heartfelt Connection,13,70,Moderate,7,#c7d826,65.79,50,"rgb(199, 216, 38)",70,/assets/media/wallpapers/moods/buoyant-c7d826.png
Uplifting,"Inspiring hope, encouragement, or positive emotion.",Joy / Optimism,Heartfelt Connection,14,70,Moderate,8,#c2d826,67.61,50,"rgb(194, 216, 38)",70,/assets/media/wallpapers/moods/uplifting-c2d826.png
Heartfelt,Deeply and sincerely felt or expressed.,Joy / Optimism,Heartfelt Connection,15,70,Moderate,9,#bcd826,69.44,50,"rgb(188, 216, 38)",70,/assets/media/wallpapers/moods/heartfelt-bcd826.png
Joyful,Filled with or expressing great pleasure and happiness.,Joy / Optimism,Heartfelt Connection,16,70,Moderate,10,#b7d826,71.27,50,"rgb(183, 216, 38)",70,/assets/media/wallpapers/moods/joyful-b7d826.png
Exuberant,"Filled with energy, enthusiasm, and high spirits.",Joy / Optimism,Heartfelt Connection,17,70,Moderate,11,#b1d826,73.1,50,"rgb(177, 216, 38)",70,/assets/media/wallpapers/moods/exuberant-b1d826.png
Radiant,"Beaming with intense joy and happiness, as if lit from within.",Joy / Optimism,Vibrant Celebration,18,70,Higher,1,#acd826,74.92,50,"rgb(172, 216, 38)",70,/assets/media/wallpapers/moods/radiant-acd826.png
Effervescent,"Bubbly, lively, and enthusiastic in personality.",Joy / Optimism,Vibrant Celebration,19,70,Higher,2,#a6d826,76.75,50,"rgb(166, 216, 38)",70,/assets/media/wallpapers/moods/effervescent-a6d826.png
Triumphant,Exulting over victory or success; jubilant.,Joy / Optimism,Vibrant Celebration,21,70,Higher,4,#9cd826,80.41,50,"rgb(156, 216, 38)",70,/assets/media/wallpapers/moods/triumphant-9cd826.png
Jubilant,"Showing great joy, satisfaction, or triumph; rejoicing.",Joy / Optimism,Vibrant Celebration,20,70,Higher,3,#a1d826,78.58,50,"rgb(161, 216, 38)",70,/assets/media/wallpapers/moods/jubilant-a1d826.png
Ecstatic,Overjoyed and intensely excited.,Joy / Optimism,Vibrant Celebration,22,70,Higher,5,#96d826,82.23,50,"rgb(150, 216, 38)",70,/assets/media/wallpapers/moods/ecstatic-96d826.png
Liberated,"Released from limits or constraints, feeling a sense of freedom and relief.",Joy / Optimism,Vibrant Celebration,23,70,Higher,6,#91d826,84.06,50,"rgb(145, 216, 38)",70,/assets/media/wallpapers/moods/liberated-91d826.png
Blissful,Extremely happy; full of pure joy and supreme happiness.,Joy / Optimism,Vibrant Celebration,24,70,Higher,7,#8bd826,85.89,50,"rgb(139, 216, 38)",70,/assets/media/wallpapers/moods/blissful-8bd826.png
At Ease,"Free from stress, anxiety, or awkwardness.",Trust / Peace,Gentle Presence,0,160,Lower,1,#86d826,87.72,50,"rgb(134, 216, 38)",70,/assets/media/wallpapers/moods/at-ease-86d826.png
Comfortable,Feeling physically and mentally relaxed without worry or tension.,Trust / Peace,Gentle Presence,0,160,Lower,2,#80d826,89.54,50,"rgb(128, 216, 38)",70,/assets/media/wallpapers/moods/comfortable-80d826.png
Content,A state of quiet happiness or satisfaction with what one has.,Trust / Peace,Gentle Presence,0,160,Lower,3,#7bd826,91.37,50,"rgb(123, 216, 38)",70,/assets/media/wallpapers/moods/content-7bd826.png
Untroubled,Not feeling or showing any worry or anxiety.,Trust / Peace,Gentle Presence,0,160,Lower,4,#75d826,93.2,50,"rgb(117, 216, 38)",70,/assets/media/wallpapers/moods/untroubled-75d826.png
Gentle,Mild and not harsh or severe; having a soft and delicate nature.,Trust / Peace,Gentle Presence,0,160,Lower,5,#70d826,95.03,50,"rgb(112, 216, 38)",70,/assets/media/wallpapers/moods/gentle-70d826.png
Satiated,"Fully satisfied, particularly in one's needs or desires.",Trust / Peace,Gentle Presence,0,160,Lower,6,#6bd826,96.85,50,"rgb(107, 216, 38)",70,/assets/media/wallpapers/moods/satiated-6bd826.png
Calm,Not agitated or disturbed; tranquil.,Trust / Peace,Gentle Presence,0,160,Lower,8,#60d826,100.51,50,"rgb(96, 216, 38)",70,/assets/media/wallpapers/moods/calm-60d826.png
Content,A feeling of quiet happiness and satisfaction with what one has.,Trust / Peace,Gentle Presence,0,160,Lower,7,#65d826,98.68,50,"rgb(101, 216, 38)",70,/assets/media/wallpapers/moods/content-65d826.png
Nurturing,To care for and encourage the growth or development of someone or something.,Trust / Peace,Gentle Presence,0,160,Lower,9,#5ad826,102.34,50,"rgb(90, 216, 38)",70,/assets/media/wallpapers/moods/nurturing-5ad826.png
Cozy,"Giving a feeling of comfort, warmth, and relaxation.",Trust / Peace,Gentle Presence,0,160,Lower,10,#55d826,104.16,50,"rgb(85, 216, 38)",70,/assets/media/wallpapers/moods/cozy-55d826.png
Reassured,"Having had doubts or fears dispelled, restoring confidence.",Trust / Peace,Personal Security,0,160,Moderate,1,#4fd826,105.99,50,"rgb(79, 216, 38)",70,/assets/media/wallpapers/moods/reassured-4fd826.png
Peaceful,Free from disturbance or agitation; calm.,Trust / Peace,Personal Security,0,160,Moderate,2,#4ad826,107.82,50,"rgb(74, 216, 38)",70,/assets/media/wallpapers/moods/peaceful-4ad826.png
Soothing,Having a gently calming effect.,Trust / Peace,Personal Security,0,160,Moderate,3,#45d826,109.64,50,"rgb(69, 216, 38)",70,/assets/media/wallpapers/moods/soothing-45d826.png
Serene,"A state of being calm, peaceful, and untroubled.",Trust / Peace,Personal Security,0,160,Moderate,4,#3fd826,111.47,50,"rgb(63, 216, 38)",70,/assets/media/wallpapers/moods/serene-3fd826.png
Balanced,Stable and in proportion; having all elements in the correct relationship.,Trust / Peace,Personal Security,0,160,Moderate,5,#3ad826,113.3,50,"rgb(58, 216, 38)",70,/assets/media/wallpapers/moods/balanced-3ad826.png
Nurturing,"The feeling of caring for and encouraging the growth of someone or something, often creating a sense of peace.",Trust / Peace,Personal Security,0,160,Moderate,6,#34d826,115.13,50,"rgb(52, 216, 38)",70,/assets/media/wallpapers/moods/nurturing-34d826.png
Connected,Feeling a sense of belonging or a strong relationship with others or oneself.,Trust / Peace,Personal Security,0,160,Moderate,7,#2fd826,116.95,50,"rgb(47, 216, 38)",70,/assets/media/wallpapers/moods/connected-2fd826.png
Trusting,Having belief or confidence in someone or something.,Trust / Peace,Personal Security,0,160,Moderate,8,#29d826,118.78,50,"rgb(41, 216, 38)",70,/assets/media/wallpapers/moods/trusting-29d826.png
Trust / Peace,"A dual concept where ""trust"" is the firm belief in the reliability of something and ""peace"" is the freedom from disturbance.",Trust / Peace,Personal Security,0,160,Moderate,9,#26d828,120.61,50,"rgb(38, 216, 40)",70,/assets/media/wallpapers/moods/trust-/-peace-26d828.png
Sheltered,Protected from danger or hardship.,Trust / Peace,Personal Security,0,160,Moderate,10,#26d82d,122.44,50,"rgb(38, 216, 45)",70,/assets/media/wallpapers/moods/sheltered-26d82d.png
Harmonious,"Characterized by agreement, pleasantness, or a pleasing arrangement of parts.",Trust / Peace,Absolute Stability,0,160,Higher,1,#26d832,124.26,50,"rgb(38, 216, 50)",70,/assets/media/wallpapers/moods/harmonious-26d832.png
Contented,A deeper and more profound form of contentment.,Trust / Peace,Absolute Stability,0,160,Higher,2,#26d838,126.09,50,"rgb(38, 216, 56)",70,/assets/media/wallpapers/moods/contented-26d838.png
Assured,Confident and certain; free from doubt.,Trust / Peace,Absolute Stability,0,160,Higher,3,#26d83d,127.92,50,"rgb(38, 216, 61)",70,/assets/media/wallpapers/moods/assured-26d83d.png
Precise,Marked by exactness and accuracy; a state of mental clarity.,Trust / Peace,Absolute Stability,0,160,Higher,4,#26d843,129.75,50,"rgb(38, 216, 67)",70,/assets/media/wallpapers/moods/precise-26d843.png
Unflappable,Having or showing calmness in a crisis; a state of not being easily disturbed.,Trust / Peace,Absolute Stability,0,160,Higher,5,#26d848,131.57,50,"rgb(38, 216, 72)",70,/assets/media/wallpapers/moods/unflappable-26d848.png
Anchored,Firmly fixed in place; a deep feeling of stability or security.,Trust / Peace,Absolute Stability,0,160,Higher,6,#26d84e,133.4,50,"rgb(38, 216, 78)",70,/assets/media/wallpapers/moods/anchored-26d84e.png
Centered,Mentally and emotionally stable; a state of being completely focused and balanced.,Trust / Peace,Absolute Stability,0,160,Higher,7,#26d853,135.23,50,"rgb(38, 216, 83)",70,/assets/media/wallpapers/moods/centered-26d853.png
Serene,"A state of being calm, peaceful, and untroubled.",Trust / Peace,Absolute Stability,0,160,Higher,8,#26d858,137.06,50,"rgb(38, 216, 88)",70,/assets/media/wallpapers/moods/serene-26d858.png
Unsettled,Not feeling calm or relaxed; out of order or unstable.,Fear / Mystery,Subtle Unease and Uncertainty,0,210,Lower,1,#26d85e,138.88,50,"rgb(38, 216, 94)",70,/assets/media/wallpapers/moods/unsettled-26d85e.png
Uneasy,"Feeling worried, uncomfortable, or ill at ease.",Fear / Mystery,Subtle Unease and Uncertainty,0,210,Lower,2,#26d863,140.71,50,"rgb(38, 216, 99)",70,/assets/media/wallpapers/moods/uneasy-26d863.png
Disquieted,Experiencing a lack of calm or peace; disturbed by worry.,Fear / Mystery,Subtle Unease and Uncertainty,0,210,Lower,3,#26d869,142.54,50,"rgb(38, 216, 105)",70,/assets/media/wallpapers/moods/disquieted-26d869.png
Uncertain,Not confident or sure of something.,Fear / Mystery,Subtle Unease and Uncertainty,0,210,Lower,4,#26d86e,144.37,50,"rgb(38, 216, 110)",70,/assets/media/wallpapers/moods/uncertain-26d86e.png
Ephemeral,Lasting for only a short period of time; fleeting.,Fear / Mystery,Subtle Unease and Uncertainty,0,210,Lower,5,#26d874,146.19,50,"rgb(38, 216, 116)",70,/assets/media/wallpapers/moods/ephemeral-26d874.png
Nervous,Easily agitated or alarmed; a transient reaction to a specific situation.,Fear / Mystery,Subtle Unease and Uncertainty,0,210,Lower,6,#26d879,148.02,50,"rgb(38, 216, 121)",70,/assets/media/wallpapers/moods/nervous-26d879.png
Apprehensive,Anxious or fearful that something bad or unpleasant will happen.,Fear / Mystery,Mounting Dread and Suspense,0,210,Moderate,1,#26d884,151.68,50,"rgb(38, 216, 132)",70,/assets/media/wallpapers/moods/apprehensive-26d884.png
Elusive,"Difficult to find, catch, or achieve.",Fear / Mystery,Subtle Unease and Uncertainty,0,210,Lower,7,#26d87f,149.85,50,"rgb(38, 216, 127)",70,/assets/media/wallpapers/moods/elusive-26d87f.png
Anxious,Characterized by apprehension and unease about future events.,Fear / Mystery,Mounting Dread and Suspense,0,210,Moderate,2,#26d889,153.5,50,"rgb(38, 216, 137)",70,/assets/media/wallpapers/moods/anxious-26d889.png
Creeping,A feeling that develops gradually and insidiously.,Fear / Mystery,Mounting Dread and Suspense,0,210,Moderate,3,#26d88f,155.33,50,"rgb(38, 216, 143)",70,/assets/media/wallpapers/moods/creeping-26d88f.png
Suspenseful,Creating a state of anxious curiosity or excitement about an outcome.,Fear / Mystery,Mounting Dread and Suspense,0,210,Moderate,4,#26d894,157.16,50,"rgb(38, 216, 148)",70,/assets/media/wallpapers/moods/suspenseful-26d894.png
Ominous,Giving the impression that something bad is going to happen.,Fear / Mystery,Mounting Dread and Suspense,0,210,Moderate,5,#26d89a,158.98,50,"rgb(38, 216, 154)",70,/assets/media/wallpapers/moods/ominous-26d89a.png
Foreboding,A strong inner feeling or premonition of future misfortune.,Fear / Mystery,Mounting Dread and Suspense,0,210,Moderate,6,#26d89f,160.81,50,"rgb(38, 216, 159)",70,/assets/media/wallpapers/moods/foreboding-26d89f.png
Dark,Marked by gloom or hopelessness; lacking light or cheerfulness.,Fear / Mystery,Mounting Dread and Suspense,0,210,Moderate,7,#26d8a5,162.64,50,"rgb(38, 216, 165)",70,/assets/media/wallpapers/moods/dark-26d8a5.png
Shadowed,Covered in darkness or gloom; filled with an implied sense of threat.,Fear / Mystery,Mounting Dread and Suspense,0,210,Moderate,8,#26d8aa,164.47,50,"rgb(38, 216, 170)",70,/assets/media/wallpapers/moods/shadowed-26d8aa.png
Eerie,Strange and frightening; causing a feeling of uneasiness.,Fear / Mystery,Mounting Dread and Suspense,0,210,Moderate,9,#26d8af,166.29,50,"rgb(38, 216, 175)",70,/assets/media/wallpapers/moods/eerie-26d8af.png
Uncanny,"Strange or mysterious, in an unsettling way; beyond what is normal or expected.",Fear / Mystery,Mounting Dread and Suspense,0,210,Moderate,10,#26d8b5,168.12,50,"rgb(38, 216, 181)",70,/assets/media/wallpapers/moods/uncanny-26d8b5.png
Hypnotic,Producing a trance-like or mesmerizing effect.,Fear / Mystery,Overwhelming Terror and Confusion,0,210,Moderate,12,#26d8c0,171.78,50,"rgb(38, 216, 192)",70,/assets/media/wallpapers/moods/hypnotic-26d8c0.png
Haunting,Remaining in the mind; difficult to forget or escape.,Fear / Mystery,Mounting Dread and Suspense,0,210,Moderate,11,#26d8ba,169.95,50,"rgb(38, 216, 186)",70,/assets/media/wallpapers/moods/haunting-26d8ba.png
Fearful,Full of fear; feeling or showing a lack of courage.,Fear / Mystery,Overwhelming Terror and Confusion,0,210,Higher,1,#26d8c5,173.6,50,"rgb(38, 216, 197)",70,/assets/media/wallpapers/moods/fearful-26d8c5.png
Disoriented,"Lacking a sense of time, place, or identity.",Fear / Mystery,Overwhelming Terror and Confusion,0,210,Higher,2,#26d8cb,175.43,50,"rgb(38, 216, 203)",70,/assets/media/wallpapers/moods/disoriented-26d8cb.png
Claustrophobic,Feeling extreme or irrational fear of confined places.,Fear / Mystery,Overwhelming Terror and Confusion,0,210,Higher,3,#26d8d0,177.26,50,"rgb(38, 216, 208)",70,/assets/media/wallpapers/moods/claustrophobic-26d8d0.png
Alienated,"Feeling isolated, estranged, or detached from others.",Fear / Mystery,Overwhelming Terror and Confusion,0,210,Higher,4,#26d8d6,179.09,50,"rgb(38, 216, 214)",70,/assets/media/wallpapers/moods/alienated-26d8d6.png
Paranoid,Characterized by irrational suspicion and mistrust of others.,Fear / Mystery,Overwhelming Terror and Confusion,0,210,Higher,5,#26d6d8,180.91,50,"rgb(38, 214, 216)",70,/assets/media/wallpapers/moods/paranoid-26d6d8.png
Sad,Feeling or showing sorrow; unhappy.,Sadness / Calm,Familiar Melancholy,0,250,Lower,1,#26d0d8,182.74,50,"rgb(38, 208, 216)",70,/assets/media/wallpapers/moods/sad-26d0d8.png
Lonely,Sadness resulting from being alone or feeling isolated.,Sadness / Calm,Familiar Melancholy,0,250,Lower,2,#26cbd8,184.57,50,"rgb(38, 203, 216)",70,/assets/media/wallpapers/moods/lonely-26cbd8.png
