Mood,Definition,Emotional Group,Group,Group Count,Hue Range (Â°),Intensity level,Tier Count,hex,hue,lightness,rgb,saturation,url
Melancholy,"A pensive sadness, typically with no obvious cause.",Sadness / Calm,Familiar Melancholy,0,250,Lower,3,#26c5d8,186.4,50,"rgb(38, 197, 216)",70,/assets/media/wallpapers/moods/melancholy-26c5d8.png
Reflective,Engaged in or characterized by deep thought; thoughtful.,Sadness / Calm,Familiar Melancholy,0,250,Lower,4,#26c0d8,188.22,50,"rgb(38, 192, 216)",70,/assets/media/wallpapers/moods/reflective-26c0d8.png
Hazy,Not clear or sharp; a sense of being unclear or confused.,Sadness / Calm,Familiar Melancholy,0,250,Lower,5,#26bad8,190.05,50,"rgb(38, 186, 216)",70,/assets/media/wallpapers/moods/hazy-26bad8.png
Subdued,"A state of low energy, quiet, or low in tone.",Sadness / Calm,Familiar Melancholy,0,250,Lower,6,#26b5d8,191.88,50,"rgb(38, 181, 216)",70,/assets/media/wallpapers/moods/subdued-26b5d8.png
Languid,Showing a disinclination for physical exertion or effort; slow and relaxed.,Sadness / Calm,Familiar Melancholy,0,250,Lower,7,#26afd8,193.71,50,"rgb(38, 175, 216)",70,/assets/media/wallpapers/moods/languid-26afd8.png
Introspective,The examination of one's own conscious thoughts and feelings.,Sadness / Calm,Familiar Melancholy,0,250,Lower,8,#26aad8,195.53,50,"rgb(38, 170, 216)",70,/assets/media/wallpapers/moods/introspective-26aad8.png
Wistful,Having a feeling of vague or regretful longing.,Sadness / Calm,Poignant Sorrow,0,250,Moderate,2,#269fd8,199.19,50,"rgb(38, 159, 216)",70,/assets/media/wallpapers/moods/wistful-269fd8.png
Bittersweet,A mixture of pleasure and sadness.,Sadness / Calm,Poignant Sorrow,0,250,Moderate,1,#26a5d8,197.36,50,"rgb(38, 165, 216)",70,/assets/media/wallpapers/moods/bittersweet-26a5d8.png
Tender,"Showing gentleness, kindness, and affection.",Sadness / Calm,Poignant Sorrow,0,250,Moderate,3,#269ad8,201.02,50,"rgb(38, 154, 216)",70,/assets/media/wallpapers/moods/tender-269ad8.png
Submerged,"Completely covered or immersed, as if overwhelmed by an emotion.",Sadness / Calm,Poignant Sorrow,0,250,Moderate,4,#2694d8,202.84,50,"rgb(38, 148, 216)",70,/assets/media/wallpapers/moods/submerged-2694d8.png
Yearning,A feeling of intense longing for something.,Sadness / Calm,Poignant Sorrow,0,250,Moderate,5,#268fd8,204.67,50,"rgb(38, 143, 216)",70,/assets/media/wallpapers/moods/yearning-268fd8.png
Remorseful,Filled with a sense of deep regret or guilt.,Sadness / Calm,Poignant Sorrow,0,250,Moderate,6,#2689d8,206.5,50,"rgb(38, 137, 216)",70,/assets/media/wallpapers/moods/remorseful-2689d8.png
Poignant,Evoking a keen sense of sadness or regret.,Sadness / Calm,Poignant Sorrow,0,250,Moderate,7,#2684d8,208.32,50,"rgb(38, 132, 216)",70,/assets/media/wallpapers/moods/poignant-2684d8.png
Resigned,Having accepted something unpleasant that one cannot do anything about.,Sadness / Calm,Poignant Sorrow,0,250,Moderate,8,#267fd8,210.15,50,"rgb(38, 127, 216)",70,/assets/media/wallpapers/moods/resigned-267fd8.png
Vulnerable,Susceptible to physical or emotional harm or attack.,Sadness / Calm,Poignant Sorrow,0,250,Moderate,9,#2679d8,211.98,50,"rgb(38, 121, 216)",70,/assets/media/wallpapers/moods/vulnerable-2679d8.png
Serein,A light fine rain falling from a clear sky; a state of calm.,Sadness / Calm,Poignant Sorrow,0,250,Moderate,10,#2674d8,213.81,50,"rgb(38, 116, 216)",70,/assets/media/wallpapers/moods/serein-2674d8.png
Hollow,"Without real value, sincerity, or substance; a feeling of emptiness.",Sadness / Calm,Profound Despair,0,250,Higher,1,#266ed8,215.63,50,"rgb(38, 110, 216)",70,/assets/media/wallpapers/moods/hollow-266ed8.png
Despondent,In low spirits from loss of hope or courage.,Sadness / Calm,Profound Despair,0,250,Higher,2,#2669d8,217.46,50,"rgb(38, 105, 216)",70,/assets/media/wallpapers/moods/despondent-2669d8.png
Brooding,"Preoccupied with depressing, morbid, or painful thoughts.",Sadness / Calm,Profound Despair,0,250,Higher,3,#2663d8,219.29,50,"rgb(38, 99, 216)",70,/assets/media/wallpapers/moods/brooding-2663d8.png
Somber,Dark or gloomy in mood; serious.,Sadness / Calm,Profound Despair,0,250,Higher,4,#265ed8,221.12,50,"rgb(38, 94, 216)",70,/assets/media/wallpapers/moods/somber-265ed8.png
Anguish,"An intense, complex, and painful emotional state caused by extreme mental or physical suffering.",Sadness / Calm,Profound Despair,0,250,Higher,5,#2658d8,222.94,50,"rgb(38, 88, 216)",70,/assets/media/wallpapers/moods/anguish-2658d8.png
Submerged,"Completely overwhelmed or immersed, as if drowning in an emotion.",Sadness / Calm,Profound Despair,0,250,Higher,6,#2653d8,224.77,50,"rgb(38, 83, 216)",70,/assets/media/wallpapers/moods/submerged-2653d8.png
Unfolding,The feeling of gradual revelation; a sense of a story or event slowly becoming clear.,Surprise / Imagination,Gentle Awakening,0,290,Lower,1,#264ed8,226.6,50,"rgb(38, 78, 216)",70,/assets/media/wallpapers/moods/unfolding-264ed8.png
Liminal,"A transitional, in-between state, like being on the threshold of something new.",Surprise / Imagination,Gentle Awakening,0,290,Lower,3,#2643d8,230.25,50,"rgb(38, 67, 216)",70,/assets/media/wallpapers/moods/liminal-2643d8.png
Dreamy,"Suggesting the calm, gentle quality of a dream; a soft, pleasant feeling.",Surprise / Imagination,Gentle Awakening,0,290,Lower,2,#2648d8,228.43,50,"rgb(38, 72, 216)",70,/assets/media/wallpapers/moods/dreamy-2648d8.png
Weightless,A feeling of being free from physical and emotional burdens; light and carefree.,Surprise / Imagination,Gentle Awakening,0,290,Lower,4,#263dd8,232.08,50,"rgb(38, 61, 216)",70,/assets/media/wallpapers/moods/weightless-263dd8.png
Whimsical,"Playfully quaint or fanciful, especially in an appealing and amusing way.",Surprise / Imagination,Gentle Awakening,0,290,Lower,5,#2638d8,233.91,50,"rgb(38, 56, 216)",70,/assets/media/wallpapers/moods/whimsical-2638d8.png
Novel,New or unusual in an interesting or different way.,Surprise / Imagination,Gentle Awakening,0,290,Lower,6,#2632d8,235.74,50,"rgb(38, 50, 216)",70,/assets/media/wallpapers/moods/novel-2632d8.png
Beautiful,A profound appreciation for something that gives great pleasure to the senses or mind.,Surprise / Imagination,Vivid Discovery,0,290,Moderate,8,#2628d8,239.39,50,"rgb(38, 40, 216)",70,/assets/media/wallpapers/moods/beautiful-2628d8.png
Cinematic,"A feeling as if one is watching a movie, suggesting a powerful and sweeping quality.",Surprise / Imagination,Vivid Discovery,0,290,Moderate,7,#262dd8,237.56,50,"rgb(38, 45, 216)",70,/assets/media/wallpapers/moods/cinematic-262dd8.png
Nostalgic,A sentimental longing or wistful affection for the past.,Surprise / Imagination,Vivid Discovery,0,290,Moderate,9,#2926d8,241.22,50,"rgb(41, 38, 216)",70,/assets/media/wallpapers/moods/nostalgic-2926d8.png
Romantic,Characterized by a feeling of excitement and mystery associated with love.,Surprise / Imagination,Vivid Discovery,0,290,Moderate,10,#2f26d8,243.05,50,"rgb(47, 38, 216)",70,/assets/media/wallpapers/moods/romantic-2f26d8.png
Magical,An enchanting feeling that something extraordinary or unexplainable is happening.,Surprise / Imagination,Vivid Discovery,0,290,Moderate,11,#3426d8,244.87,50,"rgb(52, 38, 216)",70,/assets/media/wallpapers/moods/magical-3426d8.png
Luminescent,Emitting light not caused by heat; a subtle radiance or glow.,Surprise / Imagination,Vivid Discovery,0,290,Moderate,13,#3f26d8,248.53,50,"rgb(63, 38, 216)",70,/assets/media/wallpapers/moods/luminescent-3f26d8.png
Ethereal,Extremely delicate and light; not of this world.,Surprise / Imagination,Vivid Discovery,0,290,Moderate,12,#3a26d8,246.7,50,"rgb(58, 38, 216)",70,/assets/media/wallpapers/moods/ethereal-3a26d8.png
Incongruous,Not in harmony with the surroundings; a sense of mild disorientation.,Surprise / Imagination,Vivid Discovery,0,290,Moderate,14,#4526d8,250.36,50,"rgb(69, 38, 216)",70,/assets/media/wallpapers/moods/incongruous-4526d8.png
Mythic,Relating to or having the nature of a myth; legendary and larger-than-life.,Surprise / Imagination,Vivid Discovery,0,290,Moderate,15,#4a26d8,252.18,50,"rgb(74, 38, 216)",70,/assets/media/wallpapers/moods/mythic-4a26d8.png
Dreamlike,Having the vivid but strange quality of a dream; a sense of unreality.,Surprise / Imagination,Vivid Discovery,0,290,Moderate,16,#4f26d8,254.01,50,"rgb(79, 38, 216)",70,/assets/media/wallpapers/moods/dreamlike-4f26d8.png
Wonder,"A feeling of surprise mingled with admiration, caused by something beautiful, unexpected, or inexplicable.",Surprise / Imagination,Overwhelming Reality Shift,0,290,Higher,17,#5526d8,255.84,50,"rgb(85, 38, 216)",70,/assets/media/wallpapers/moods/wonder-5526d8.png
Fantastical,Imaginative or fanciful to an exaggerated degree.,Surprise / Imagination,Overwhelming Reality Shift,0,290,Higher,18,#5a26d8,257.66,50,"rgb(90, 38, 216)",70,/assets/media/wallpapers/moods/fantastical-5a26d8.png
Disorienting,Making someone lose their sense of direction or feel confused.,Surprise / Imagination,Overwhelming Reality Shift,0,290,Higher,19,#6026d8,259.49,50,"rgb(96, 38, 216)",70,/assets/media/wallpapers/moods/disorienting-6026d8.png
Hallucinatory,"The experience of perceiving things that are not there, creating a profoundly altered state.",Surprise / Imagination,Overwhelming Reality Shift,0,290,Higher,20,#6526d8,261.32,50,"rgb(101, 38, 216)",70,/assets/media/wallpapers/moods/hallucinatory-6526d8.png
Orphic,Pertaining to Orpheus; mystical and entrancing.,Surprise / Imagination,Overwhelming Reality Shift,0,290,Higher,21,#6b26d8,263.15,50,"rgb(107, 38, 216)",70,/assets/media/wallpapers/moods/orphic-6b26d8.png
Surreal,"Having a strange, dreamlike, or fantastic quality; beyond reality.",Surprise / Imagination,Overwhelming Reality Shift,0,290,Higher,22,#7026d8,264.97,50,"rgb(112, 38, 216)",70,/assets/media/wallpapers/moods/surreal-7026d8.png
Transcendent,Exceeding the ordinary limits; beyond the scope of human experience.,Surprise / Imagination,Overwhelming Reality Shift,0,290,Higher,23,#7526d8,266.8,50,"rgb(117, 38, 216)",70,/assets/media/wallpapers/moods/transcendent-7526d8.png
Cosmic,Relating to the cosmos or suggesting a vast and complex quality.,Surprise / Imagination,Overwhelming Reality Shift,0,290,Higher,24,#7b26d8,268.63,50,"rgb(123, 38, 216)",70,/assets/media/wallpapers/moods/cosmic-7b26d8.png
Curious,Eager to know or learn something; a gentle and inquiring state.,Anticipation / Dream,Curious Expansion,0,330,Lower,1,#8026d8,270.46,50,"rgb(128, 38, 216)",70,/assets/media/wallpapers/moods/curious-8026d8.png
Experimental,Relating to a new way of doing or thinking about something; a sense of tentative exploration.,Anticipation / Dream,Curious Expansion,0,330,Lower,3,#8626d8,272.28,50,"rgb(134, 38, 216)",70,/assets/media/wallpapers/moods/experimental-8626d8.png
Whimsical,"Playfully quaint or fanciful; a light-hearted, imaginative quality.",Anticipation / Dream,Curious Expansion,0,330,Lower,2,#8b26d8,274.11,50,"rgb(139, 38, 216)",70,/assets/media/wallpapers/moods/whimsical-8b26d8.png
Unfolding,The feeling of gradual revelation; a sense of a story or event slowly becoming clear.,Anticipation / Dream,Curious Expansion,0,330,Lower,4,#9126d8,275.94,50,"rgb(145, 38, 216)",70,/assets/media/wallpapers/moods/unfolding-9126d8.png
Prospective,A future event that is likely to happen; looking forward to something with anticipation.,Anticipation / Dream,Curious Expansion,0,330,Lower,5,#9626d8,277.77,50,"rgb(150, 38, 216)",70,/assets/media/wallpapers/moods/prospective-9626d8.png
Hopeful,A feeling of expectation and desire for a certain thing to happen.,Anticipation / Dream,Curious Expansion,0,330,Lower,6,#9c26d8,279.59,50,"rgb(156, 38, 216)",70,/assets/media/wallpapers/moods/hopeful-9c26d8.png
Inspired,"A feeling of being mentally stimulated to do or feel something, typically positive.",Anticipation / Dream,Curious Expansion,0,330,Lower,7,#a126d8,281.42,50,"rgb(161, 38, 216)",70,/assets/media/wallpapers/moods/inspired-a126d8.png
Adventurous,"Willing to take risks or to try out new methods, ideas, or experiences.",Anticipation / Dream,Curious Expansion,0,330,Moderate,1,#a626d8,283.25,50,"rgb(166, 38, 216)",70,/assets/media/wallpapers/moods/adventurous-a626d8.png
Inspired,"A feeling of being mentally stimulated to do or feel something, often positive and forward-looking.",Anticipation / Dream,Curious Expansion,0,330,Moderate,2,#ac26d8,285.08,50,"rgb(172, 38, 216)",70,/assets/media/wallpapers/moods/inspired-ac26d8.png
Imaginative,"The ability to form new ideas, images, or concepts; a precursor to innovation.",Anticipation / Dream,Imaginative Immersion,0,330,Moderate,3,#b126d8,286.9,50,"rgb(177, 38, 216)",70,/assets/media/wallpapers/moods/imaginative-b126d8.png
Speculative,Based on conjecture rather than knowledge; a theoretical or abstract feeling.,Anticipation / Dream,Imaginative Immersion,0,330,Moderate,4,#b726d8,288.73,50,"rgb(183, 38, 216)",70,/assets/media/wallpapers/moods/speculative-b726d8.png
Enchanted,A feeling of being under a spell; filled with delight and wonder.,Anticipation / Dream,Imaginative Immersion,0,330,Moderate,5,#bc26d8,290.56,50,"rgb(188, 38, 216)",70,/assets/media/wallpapers/moods/enchanted-bc26d8.png
Mesmerizing,Attracting and holding interest as if by a spell; a powerfully hypnotic quality.,Anticipation / Dream,Imaginative Immersion,0,330,Moderate,6,#c226d8,292.39,50,"rgb(194, 38, 216)",70,/assets/media/wallpapers/moods/mesmerizing-c226d8.png
Longing,A yearning desire for something; a feeling of intense anticipation.,Anticipation / Dream,Imaginative Immersion,0,330,Moderate,7,#c726d8,294.21,50,"rgb(199, 38, 216)",70,/assets/media/wallpapers/moods/longing-c726d8.png
Dreamlike,Having the vivid but strange quality of a dream; a sense of unreality.,Anticipation / Dream,Imaginative Immersion,0,330,Moderate,8,#cc26d8,296.04,50,"rgb(204, 38, 216)",70,/assets/media/wallpapers/moods/dreamlike-cc26d8.png
Lush,"Richly abundant and luxurious; a sense of deep, sensory pleasure.",Anticipation / Dream,Imaginative Immersion,0,330,Moderate,9,#d226d8,297.87,50,"rgb(210, 38, 216)",70,/assets/media/wallpapers/moods/lush-d226d8.png
Innovative,The result of imagination being implemented into new and valuable ideas or products.,Anticipation / Dream,Imaginative Immersion,0,330,Moderate,10,#d726d8,299.7,50,"rgb(215, 38, 216)",70,/assets/media/wallpapers/moods/innovative-d726d8.png
Visionary,"The ability to form or use vivid, imaginative, or prophetic mental images.",Anticipation / Dream,Profound Vision,0,330,Higher,1,#d826d4,301.52,50,"rgb(216, 38, 212)",70,/assets/media/wallpapers/moods/visionary-d826d4.png
Powerful,"Exerting great force or influence; a feeling of intense, commanding energy.",Anticipation / Dream,Profound Vision,0,330,Higher,2,#d826ce,303.35,50,"rgb(216, 38, 206)",70,/assets/media/wallpapers/moods/powerful-d826ce.png
Proleptic,The anticipation or foreshadowing of a future event; an advanced or prophetic feeling.,Anticipation / Dream,Profound Vision,0,330,Higher,4,#d826c3,307.01,50,"rgb(216, 38, 195)",70,/assets/media/wallpapers/moods/proleptic-d826c3.png
Esoteric,"Intended for or understood by only a small number of people with specialized knowledge, suggesting profound mystery.",Anticipation / Dream,Profound Vision,0,330,Higher,3,#d826c9,305.18,50,"rgb(216, 38, 201)",70,/assets/media/wallpapers/moods/esoteric-d826c9.png
Futuristic,A state of anticipation for the future; an intense focus on what is yet to come.,Anticipation / Dream,Profound Vision,0,330,Higher,5,#d826be,308.83,50,"rgb(216, 38, 190)",70,/assets/media/wallpapers/moods/futuristic-d826be.png
Transcendental,Exceeding or going beyond normal human experience; a feeling of profound awe.,Anticipation / Dream,Profound Vision,0,330,Higher,6,#d826b9,310.66,50,"rgb(216, 38, 185)",70,/assets/media/wallpapers/moods/transcendental-d826b9.png
Enigmatic,"Puzzling, mysterious, or difficult to understand; creates intense curiosity.",Anticipation / Dream,Profound Vision,0,330,Higher,7,#d826b3,312.49,50,"rgb(216, 38, 179)",70,/assets/media/wallpapers/moods/enigmatic-d826b3.png
Imminent,The quality of being about to happen; a powerful and immediate sense of anticipation.,Anticipation / Dream,Profound Vision,0,330,Higher,8,#d826ae,314.31,50,"rgb(216, 38, 174)",70,/assets/media/wallpapers/moods/imminent-d826ae.png
Awakening,"A spiritual or intellectual awakening is a powerful, profound, and often arduous experience.",Anticipation / Dream,Profound Vision,0,330,Higher,9,#d826a8,316.14,50,"rgb(216, 38, 168)",70,/assets/media/wallpapers/moods/awakening-d826a8.png
Neutral,"A state of neither positive nor negative expression, emotionless and objective.",Neutral / Style / Meta,Internal Agitation / Subtlety,0,360,Lower,1,#d826a3,317.97,50,"rgb(216, 38, 163)",70,/assets/media/wallpapers/moods/neutral-d826a3.png
Observational,Characterized by a passive and detached noting of events or surroundings.,Neutral / Style / Meta,Internal Agitation / Subtlety,0,360,Lower,2,#d8269d,319.8,50,"rgb(216, 38, 157)",70,/assets/media/wallpapers/moods/observational-d8269d.png
Impassive,Not feeling or showing emotion; unemotional.,Neutral / Style / Meta,Internal Agitation / Subtlety,0,360,Lower,4,#d82692,323.45,50,"rgb(216, 38, 146)",70,/assets/media/wallpapers/moods/impassive-d82692.png
Ambivalent,Having mixed or contradictory feelings about something.,Neutral / Style / Meta,Internal Agitation / Subtlety,0,360,Lower,3,#d82698,321.62,50,"rgb(216, 38, 152)",70,/assets/media/wallpapers/moods/ambivalent-d82698.png
Detached,"Separate or disconnected, with little or no emotional involvement.",Neutral / Style / Meta,Internal Agitation / Subtlety,0,360,Lower,5,#d8268d,325.28,50,"rgb(216, 38, 141)",70,/assets/media/wallpapers/moods/detached-d8268d.png
Objective,Based on facts and not influenced by personal feelings or opinions.,Neutral / Style / Meta,Internal Agitation / Subtlety,0,360,Lower,6,#d82688,327.11,50,"rgb(216, 38, 136)",70,/assets/media/wallpapers/moods/objective-d82688.png
Minimalist,An aesthetic characterized by extreme spareness and simplicity.,Neutral / Style / Meta,Internal Agitation / Subtlety,0,360,Lower,7,#d82682,328.93,50,"rgb(216, 38, 130)",70,/assets/media/wallpapers/moods/minimalist-d82682.png
Structured,Arranged in a deliberate and organized pattern.,Neutral / Style / Meta,Internal Agitation / Subtlety,0,360,Lower,8,#d8267d,330.76,50,"rgb(216, 38, 125)",70,/assets/media/wallpapers/moods/structured-d8267d.png
Grounded,"Sensible, realistic, and practical; a strong connection to reality.",Neutral / Style / Meta,Expressive / Concrete Style,0,360,Moderate,1,#d82677,332.59,50,"rgb(216, 38, 119)",70,/assets/media/wallpapers/moods/grounded-d82677.png
Analog,"Related to a method of processing or transmitting signals using continuous variables, suggesting a tangible, classic feel.",Neutral / Style / Meta,Expressive / Concrete Style,0,360,Moderate,2,#d82672,334.42,50,"rgb(216, 38, 114)",70,/assets/media/wallpapers/moods/analog-d82672.png
Concrete,"A material or quality that is solid, real, and based on specific instances.",Neutral / Style / Meta,Expressive / Concrete Style,0,360,Moderate,3,#d8266c,336.24,50,"rgb(216, 38, 108)",70,/assets/media/wallpapers/moods/concrete-d8266c.png
Reflective,Deeply or seriously thoughtful; meditative.,Neutral / Style / Meta,Expressive / Concrete Style,0,360,Moderate,4,#d82667,338.07,50,"rgb(216, 38, 103)",70,/assets/media/wallpapers/moods/reflective-d82667.png
Clinical,"An emotionless or cold, detached, but precise style.",Neutral / Style / Meta,Expressive / Concrete Style,0,360,Moderate,6,#d8265c,341.73,50,"rgb(216, 38, 92)",70,/assets/media/wallpapers/moods/clinical-d8265c.png
Textural,Pertaining to the perceived surface quality or texture of a work of art.,Neutral / Style / Meta,Expressive / Concrete Style,0,360,Moderate,5,#d82662,339.9,50,"rgb(216, 38, 98)",70,/assets/media/wallpapers/moods/textural-d82662.png
Atmospheric,"Pertaining to the air, or creating a distinctive and suggestive mood.",Neutral / Style / Meta,Expressive / Concrete Style,0,360,Moderate,7,#d82657,343.55,50,"rgb(216, 38, 87)",70,/assets/media/wallpapers/moods/atmospheric-d82657.png
Raw,"Unprocessed, visceral, and intense emotion.",Neutral / Style / Meta,Abstract / Meta / Evocative,0,360,Higher,1,#d82651,345.38,50,"rgb(216, 38, 81)",70,/assets/media/wallpapers/moods/raw-d82651.png
Soulful,"Full of deep or tender feeling, emotion, or expression.",Neutral / Style / Meta,Abstract / Meta / Evocative,0,360,Higher,2,#d8264c,347.21,50,"rgb(216, 38, 76)",70,/assets/media/wallpapers/moods/soulful-d8264c.png
Glitchy,"Characterized by sudden, unexpected, or jarring interruptions.",Neutral / Style / Meta,Abstract / Meta / Evocative,0,360,Higher,4,#d82641,350.86,50,"rgb(216, 38, 65)",70,/assets/media/wallpapers/moods/glitchy-d82641.png
Abstract,Existing in thought or as an idea but not having a physical or concrete existence.,Neutral / Style / Meta,Abstract / Meta / Evocative,0,360,Higher,3,#d82646,349.04,50,"rgb(216, 38, 70)",70,/assets/media/wallpapers/moods/abstract-d82646.png
Underground,"Referring to an alternative, subversive, or non-mainstream aesthetic.",Neutral / Style / Meta,Abstract / Meta / Evocative,0,360,Higher,5,#d8263b,352.69,50,"rgb(216, 38, 59)",70,/assets/media/wallpapers/moods/underground-d8263b.png
Deconstructed,Taken apart or analyzed into its constituent components; a style that reveals its own construction.,Neutral / Style / Meta,Abstract / Meta / Evocative,0,360,Higher,6,#d82636,354.52,50,"rgb(216, 38, 54)",70,/assets/media/wallpapers/moods/deconstructed-d82636.png
Arcane,Understood by few; mysterious or secret.,Neutral / Style / Meta,Abstract / Meta / Evocative,0,360,Higher,7,#d82631,356.35,50,"rgb(216, 38, 49)",70,/assets/media/wallpapers/moods/arcane-d82631.png
Timeless,Not affected by the passage of time or changes in fashion.,Neutral / Style / Meta,Abstract / Meta / Evocative,0,360,Higher,8,#d8262b,358.17,50,"rgb(216, 38, 43)",70,/assets/media/wallpapers/moods/timeless-d8262b.png
